Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ляшко,Макар,Анатолійович,Чоловіча,2005-11-02,Краєзнавець,хутір Полонне,"набережна Кордонний, буд. 899 кв. 14, Приморськ (Україна), 68889",199 44 61,albertlukash@example.com
Адаменко,Микита,Андрійович,Чоловіча,1943-06-13,Парфюмер,селище Дружба ,"набережна Грузовий, буд. 08 кв. 16, Умань, 56731",+380 (00) 285-73-15,piaremchuk@example.org
Зубко,Григорій,Олександрович,Чоловіча,1971-07-21,Педагог,хутір Стебник,"парк Садова 3-тя, буд. 56 кв. 84, Бобринець, 77600",+380 00 724 70 72,viktorcherednyk@example.com
Гаврилишина,Азар,Юрійович,Чоловіча,1962-05-10,Менеджер,село Суми,"сквер Тюльпанний, буд. 35 кв. 77, Іловайськ, 17895",009 595 49 44,wfesenko@example.org
Яремко,Гаврило,Юрійович,Чоловіча,1953-02-14,М'ясник,місто Ялта,"парк Курганська, буд. 004 кв. 883, Болград, 70182",+380 (14) 059-56-04,oleksandrbaran@example.org
Артимишин,Аарон,Андрійович,Чоловіча,1981-12-09,Художник,село Селидове,"проспект Балтський 8-й, буд. 8, Часів Яр, 24944",+380 (51) 464-59-09,ustymzaporozhets@example.org
Свистун,Веніямин,Павлович,Чоловіча,1940-02-29,Няня,селище Олешки,"площа Жуковського, буд. 270 кв. 782, Кам'янець-Подільський, 91033",029 708-12-84,alevtyn85@example.net
Ващенко-Захарченко,Віктор,Сергійович,Чоловіча,1946-10-30,Правник,селище Кременець,"проспект Університетський, буд. 31 кв. 70, Володимир-Волинський, 81775",+380 84 065-42-73,priska33@example.org
Ткач,Костянтин,Андрійович,Чоловіча,1974-02-14,Кінорежисер,хутір Мостиська,"парк Ремонтна, буд. 3, Стрий, 39468",+380 24 121 20 05,artymyshyniosyp@example.org
Карпенко,Захар,Іванович,Чоловіча,1974-03-30,Скульптор,село Олександрія,"парк Мукачівський, буд. 37 кв. 351, Антрацит , 01958",+380 49 909 01 75,irenakhrystenko@example.net
Кащенко,Віталій,Михайлович,Чоловіча,1969-06-04,Програміст,село Ізюм,"площа Красносільська, буд. 472 кв. 3, Перемишляни, 53545",920 39 38,hryhorii10@example.net
Ващенко,Ростислав,Іванович,Чоловіча,1952-11-08,Актор,місто Теплодар,"сквер Успенська, буд. 6, Запоріжжя, 70494",020 653 05 26,maksymiashchenko@example.org
Тичина,Марко,Андрійович,Чоловіча,1970-10-26,Візажист,селище Жидачів,"вулиця Дідріхсона, буд. 248 кв. 008, Шаргород, 04535",011 90 59,lhres@example.org
Бабиченко,Назар,Олександрович,Чоловіча,1995-05-23,Модельєр,хутір Павлоград,"сквер Донецька, буд. 51 кв. 778, Кілія, 61041",+380 86 890 75 20,alla20@example.com
Терещук,Франц,Анатолійович,Чоловіча,1997-04-06,Кур'єр,хутір Горішні Плавні,"набережна Левітана, буд. 80 кв. 326, Могилів-Подільський, 15105",000 091 60 85,monishchuk@example.org
Тимченко,Амвросій,Олександрович,Чоловіча,1994-04-01,Менеджер,місто Луцьк,"набережна Золотий берег, буд. 283, Красилів, 82963",942-75-49,vchernenko@example.org
Іщак,Макар,Юрійович,Чоловіча,1974-12-21,Громадський діяч,хутір Броди,"проспект Андрійця Олега, буд. 1, Хрестівка, 84136",018 709 72 02,mchaban@example.net
Семенченко,Онисим,Андрійович,Чоловіча,2001-11-09,Кінорежисер,селище Калинівка ,"сквер Віри Холодної, буд. 02, Судак , 95172",+380 (07) 404-19-03,palekseienko@example.com
Михайличенко,Данило,Павлович,Чоловіча,1969-06-18,Футболіст,селище Тальне,"набережна Штабний, буд. 806, Бершадь, 17569",042 490-71-27,zkolesnychenko@example.com
Дашенко,Святослав,Михайлович,Чоловіча,1977-03-04,Круп'є,хутір Нова Каховка,"узвіз Успенський, буд. 2, Ладижин, 95165",040 057-54-38,shylovladyslav@example.net
Щириця,Степан,Юрійович,Чоловіча,2007-10-13,Футболіст,село Семенівка,"набережна Пересипська 2-га, буд. 1, Звенигородка, 46909",966-86-33,babychenkozakhar@example.org
Дуплій,Семен,Андрійович,Чоловіча,1967-05-08,Інженер,місто Бурштин ,"проспект Садиковська, буд. 933, Щастя , 66014",+380 (35) 398-61-45,klavdiiabezborodko@example.com
Гунько,Юстим,Володимирович,Чоловіча,2006-07-13,Професор,місто Чуднів,"шосе 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 007 кв. 348, Бориспіль, 56862",+380 (97) 687-38-32,sviatoslavovcharenko@example.org
Михайлюк,Ярослав,Іванович,Чоловіча,1983-12-13,Детектив,село Зоринськ,"узвіз Левадна, буд. 04 кв. 06, Марганець , 62304",739-06-75,mykhailooberemko@example.net
Тесленко,Олекса,Сергійович,Чоловіча,2001-02-24,Етнограф,хутір Снятин,"площа Донцова Дмитра, буд. 29, Макіївка, 19681",676-47-53,demian77@example.net
Цушко,Адам,Сергійович,Чоловіча,1967-02-01,Маркетолог,село Кам'янка-Дніпровська,"узвіз Текстильників, буд. 25 кв. 51, Новодружеськ, 14258",+380 68 409 50 47,pylyp45@example.net
Чубай,Орхип,Олександрович,Чоловіча,1979-12-05,Журналіст,місто Нововолинськ,"узвіз Зоряна, буд. 55, Первомайськ, 02950",005 316-11-33,wtsiupa@example.net
Адамчук,Ігор,Андрійович,Чоловіча,1950-05-03,Зоолог,місто Решетилівка,"проспект Лінійна, буд. 977, Покровськ, 03356",017 533 35 13,okhrimenkookhrim@example.org
Дробаха,Вʼячеслав,Володимирович,Чоловіча,1944-12-13,Мірошник,хутір Покров,"парк Керченська, буд. 67, Полтава, 90496",802 11 39,okseniiaarkhypenko@example.com
Гайдамака,Євген,Іванович,Чоловіча,1996-11-15,Стиліст,хутір Світловодськ,"вулиця Лунний, буд. 997 кв. 10, Коростишів, 70293",+380 12 838-40-50,zlatoslavababiak@example.org
Іваничук,Соломон,Михайлович,Чоловіча,1994-04-06,Юрист,хутір Турка,"вулиця Неплія, буд. 441, Жовті Води, 86351",088 832-76-80,chumachenkoleon@example.com
Рудик,Леонтій,Юрійович,Чоловіча,1954-02-16,Живописець,місто Тиврів,"провулок Ланжерон, буд. 748 кв. 5, Теребовля, 05807",+380 76 847-37-28,zhalilovolodymyr@example.org
Редько,Георгій,Іванович,Чоловіча,1954-01-29,Менеджер,хутір Тараща,"сквер Хаджибейський 1-й, буд. 0 кв. 42, Коломия, 93362",+380 63 277-94-32,adam29@example.com
Сімашкевич,Дмитро,Володимирович,Чоловіча,2006-10-31,Ді-джей,селище Сквира,"провулок Італійський, буд. 747 кв. 29, Жовті Води, 05224",+380 60 577 18 73,bohuslavaskyrda@example.org
Негода,Онисим,Петрович,Чоловіча,1967-07-04,Головний меркшейдер,селище Щастя ,"площа Чапаєва, буд. 2, Умань, 20913",+380 32 483-30-51,shvaikahanna@example.net
Черненко,Венедикт,Петрович,Чоловіча,1994-12-01,Секретар,місто Українка ,"провулок Гетьманський, буд. 23, Корюківка, 35265",012 441-00-13,huzmykolai@example.com
Цимбал,Євген,Юрійович,Чоловіча,1951-05-27,Бібліотекар,село Оріхів,"узвіз Корнюшина, буд. 30, Рубіжне, 91706",+380 (60) 051-27-33,kashchenkosolomiia@example.com
Мірошниченко,Віктор,Петрович,Чоловіча,1959-12-05,Мистецтвознавець,селище Барвінкове,"сквер Тополиний, буд. 309 кв. 51, Сіверськ, 72271",+380 (39) 168-22-74,marusia83@example.org
Канівець,Августин,Іванович,Чоловіча,1942-08-13,Графік,хутір Овруч,"узвіз Агрономічна, буд. 04 кв. 45, Знам'янка, 18108",004 533 46 23,ciakovenko@example.com
Копитко,Болеслав,Сергійович,Чоловіча,1942-03-16,Паралегал,село Кіцмань,"парк Дубова, буд. 281, Новояворівськ, 19138",+380 90 679 18 24,anton19@example.org
Вітер,Михайло,Анатолійович,Чоловіча,1995-01-03,Провізор,село Борзна,"парк Кришталева, буд. 93, Прип'ять , 23564",+380 57 955-70-99,sandriiovych@example.net
Полтавець,Соломон,Михайлович,Чоловіча,1979-05-17,Сценарист,село Березне,"проспект Вітчизняна, буд. 80 кв. 986, Новомиргород, 76677",+380 (13) 629-41-81,zivanychuk@example.org
Зінкевич,Трохим,Олександрович,Чоловіча,1967-04-05,Клавішник,хутір Новоукраїнка,"шосе Садиковська, буд. 046, Пирятин, 40091",108-17-68,trokhymiashchuk@example.com
Акуленко,Спас,Андрійович,Чоловіча,1967-05-17,Електромонтер,село Балаклія,"узвіз Танфільєва, буд. 454, Феодосія, 88760",+380 39 311-64-75,alina37@example.net
Дзюба,Макар,Володимирович,Чоловіча,1987-07-07,Головний меркшейдер,селище Часів Яр,"проспект Цегляна, буд. 4 кв. 258, Новий Розділ, 11688",375 76 25,lvatamaniuk@example.com
Приходько,Вʼячеслав,Володимирович,Чоловіча,1969-11-01,Ґрунтознавець,місто Глобине,"площа Соляний 5-й, буд. 46 кв. 807, Новоукраїнка, 90478",047 771 68 64,alevtynmalyk@example.org
Конопля,Остап,Олександрович,Чоловіча,1965-07-06,Музикознавець,селище Бурштин ,"провулок Госпітальний, буд. 750 кв. 69, Нетішин, 47821",+380 96 615 83 19,dkhmara@example.com
Алексійчук,Онисим,Сергійович,Чоловіча,2008-05-12,Машиніст,хутір Світлодарськ,"вулиця Молодіжна, буд. 08, Соснівка , 63640",+380 69 414-80-61,svyrydenkoaaron@example.net
Кибкало,Олег,Андрійович,Чоловіча,1967-12-28,Етнограф,селище Лутугине,"проспект Балтський 5-й, буд. 98 кв. 862, Бобринець, 26496",+380 70 903-94-48,charnyshvasylyna@example.org
Забіла,Богодар,Петрович,Чоловіча,2001-07-08,Кінорежисер,хутір Миколаїв,"узвіз Штильова, буд. 4, Монастирище, 29869",015 859 07 36,cherinkomykhailyna@example.com
Венгринович,Георгій,Сергійович,Чоловіча,1950-08-07,Перекладач,місто Рожище,"провулок Псковський, буд. 05, Бобровиця, 09542",+380 04 593 74 41,batiukvasylyna@example.org
Полтавець,Хома,Володимирович,Чоловіча,1968-08-12,Ґрунтознавець,селище Фастів,"площа Олександра Невського, буд. 1, Тростянець, 50790",+380 38 633-42-21,korzhbohuslava@example.org
Дерегус,Гаврило,Петрович,Чоловіча,1981-08-06,Пекар,місто Алушта,"площа Лінія 50-та, буд. 068, Синельникове, 66875",+380 38 753-85-94,pavloparasiuk@example.com
Назаренко,Олександр,Михайлович,Чоловіча,1993-09-19,Пілот,селище Радомишль,"площа Перемоги, буд. 6, Вишневе , 22660",+380 (71) 327-03-07,fshablii@example.net
Самойленко,Іван,Володимирович,Чоловіча,1993-04-29,Дерун,місто Мена ,"парк Нова, буд. 47, Бар, 71620",+380 (59) 737-23-08,iaremkosviatoslav@example.net
Гайдабура,Дмитро,Михайлович,Чоловіча,1986-10-16,Патологоанатом,хутір Ірміно,"набережна Мазепи Івана, буд. 7, Здолбунів, 10015",+380 87 661 58 75,jlytvynenko@example.org
Фоменко,Гаврило,Олександрович,Чоловіча,1952-08-17,Стоматолог,селище Залізне,"парк Черепанових, буд. 922 кв. 57, Борзна, 83498",+380 95 121 74 47,mshtokalo@example.com
Терещенко,Пармен,Андрійович,Чоловіча,1975-10-26,Дизайнер,село Молочанськ,"сквер Розкидайлівська, буд. 5 кв. 77, Маріуполь, 65569",045 807-96-41,trokhym70@example.com
Радченко,Орхип,Михайлович,Чоловіча,1948-05-02,Випробувач,селище Острог,"набережна Магнітогорська, буд. 76, Алчевськ, 37522",122-73-75,ielysavetanestaiko@example.net
Авдєєнко,Теодор,Володимирович,Чоловіча,1957-10-11,Журналіст,село Очаків,"сквер Штильова, буд. 1 кв. 249, Генічеськ, 13591",085 395-21-05,averchenkooryna@example.org
Шаповал,Омелян,Юрійович,Чоловіча,1975-09-24,Доцент,село Зоринськ,"шосе 1-ша Суворовська, буд. 663, Алушта, 55721",623 75 73,htalan@example.net
Гриценко,Назар,Петрович,Чоловіча,1999-09-18,Ювелір,селище Бахчисарай,"сквер Деволанівський узвіз, буд. 71 кв. 208, Маріуполь, 40748",944-59-61,fursstanislav@example.net
Заруба,Володимир,Олександрович,Чоловіча,1990-06-30,Соціолог,місто Нікополь,"узвіз Севастопольський, буд. 01, Єнакієве, 83675",031 965-68-84,okseniiafilipenko@example.org
Ємець,Мирослав,Володимирович,Чоловіча,1941-07-24,Паралегал,хутір Мар'їнка,"площа Промислова, буд. 05, Бобринець, 58114",027-50-90,svitlana05@example.net
Фартушняк,Гордій,Іванович,Чоловіча,1941-01-28,Антрополог,хутір Кам'янка-Бузька,"шосе Заводська 1-ша, буд. 03, Чигирин, 16993",317 42 36,hhodunok@example.net
Девдюк,Захар,Сергійович,Чоловіча,2000-12-21,Водій,хутір Алчевськ,"набережна Слави, буд. 635, Верхівцеве, 72627",+380 (69) 564-32-99,pbabych@example.net
Скопенко,Тимофій,Олександрович,Чоловіча,1977-10-09,Актор,хутір Тисмениця,"парк Капітана Кузнецова, буд. 373, Дубно, 93279",+380 94 205-42-06,oleksabazavluchenko@example.com
Жарко,Яків,Петрович,Чоловіча,1975-11-29,Адвокат,місто Угнів,"набережна Привокзальна, буд. 50 кв. 7, Нововолинськ, 88960",558-61-33,klavdiiashchyrytsia@example.com
Худобʼяк,Василь,Володимирович,Чоловіча,1966-06-03,Біолог,хутір Тячів,"шосе Перемоги, буд. 056 кв. 42, Ржищів, 68039",060 624 58 30,chuikobohdan@example.com
Дурдинець,Борислав,Юрійович,Чоловіча,1970-09-16,Стиліст,селище Боярка,"площа Першотравневий 2-й, буд. 0 кв. 09, Винники, 95488",860 02 80,neporozhniisolomon@example.org
Бабʼяк,Назар,Олександрович,Чоловіча,1980-08-11,Мистецтвознавець,місто Харцизьк,"вулиця Локальна, буд. 17 кв. 0, Тульчин, 97917",+380 (12) 935-74-13,vitalii00@example.org
Щербань,Миколай,Володимирович,Чоловіча,1993-11-25,Дипломат,хутір Нетішин,"сквер Вєтрова, буд. 91 кв. 022, Дубляни, 84143",+380 45 073-27-90,marusia04@example.com
Удовенко,Антон,Андрійович,Чоловіча,1967-06-11,Модель,село Білгород-Дністровський,"сквер Складська, буд. 236 кв. 52, Золотоноша, 33487",005-24-04,wzasiadko@example.com
Вдовиченко,Соломон,Петрович,Чоловіча,1986-05-22,Геофізик,хутір Луцьк,"шосе Стамбульський, буд. 62, Монастириська, 42885",+380 45 903 07 36,ustymshelest@example.org
Бабиченко,Марко,Сергійович,Чоловіча,1953-10-27,Ді-джей,село Голубівка,"узвіз Тульська, буд. 521 кв. 66, Скадовськ, 67568",+380 (70) 666-45-45,tcharnysh@example.org
Ващук,Данило,Андрійович,Чоловіча,1992-03-14,Головний меркшейдер,село Тячів,"набережна Нечипуренка, буд. 304 кв. 1, Свалява, 69223",+380 00 663-22-21,panas18@example.org
Єщенко,Венедикт,Володимирович,Чоловіча,1961-05-15,Стропальник,село Львів,"парк Миколи Огренича, буд. 74 кв. 250, Снігурівка, 78279",+380 00 086 22 12,holykorest@example.org
Луценко,Леонід,Петрович,Чоловіча,1948-01-28,Геолог,село Житомир,"сквер Жасминна, буд. 1, Нетішин, 62553",+380 94 995 01 24,adaparasiuk@example.com
Сімашкевич,Вадим,Олександрович,Чоловіча,1947-07-29,Гірник,місто Ірміно,"набережна Вєтрова, буд. 4, Хмельницький, 76735",+380 75 248-66-37,illiaudovychenko@example.com
Зінчук,Олександр,Юрійович,Чоловіча,1951-04-08,Стиліст,місто Верхівцеве,"сквер Леваневського, буд. 807 кв. 355, Боярка, 95886",094 915-70-50,skybasviatoslav@example.com
Ярема,Ілля,Петрович,Чоловіча,1955-08-12,Підприємець,хутір Костопіль,"узвіз Травневий 5-й, буд. 83, Звенигородка, 66627",960-05-86,azariemelianenko@example.com
Сиротенко,Демид,Сергійович,Чоловіча,1999-12-12,Паблік рилейшнз,місто Луцьк,"сквер Довга, буд. 72 кв. 774, Боково-Хрустальне, 16836",692-86-24,aorobets@example.org
Дутка,Лесь,Андрійович,Чоловіча,2003-04-02,Єгер,місто Полонне,"парк Совіньйонівський, буд. 93 кв. 2, Географія Вільнянська, 05819",+380 51 577 93 74,roman60@example.net
Удовенко,Ярослав,Сергійович,Чоловіча,1948-09-01,Модель,хутір Підгайці,"набережна Інглезі, буд. 8, Соснівка , 03801",+380 (00) 251-68-19,danylchukihor@example.com
Іванченко,Азар,Михайлович,Чоловіча,1983-06-08,Випробувач,село Вознесенівка,"набережна Костанді 3-й, буд. 16, Докучаєвськ, 32694",938 38 66,dtsarenko@example.org
Заїка,Леопольд,Володимирович,Чоловіча,1939-07-31,Композитор,місто Овруч,"провулок Проїзний 3-й, буд. 1, Біляївка, 39876",367 14 87,kopytkomarusia@example.org
Ґерус,Олекса,Андрійович,Чоловіча,1980-01-13,Медик,місто Балаклія,"парк Шишкіна, буд. 82 кв. 19, Чистякове, 77376",+380 58 882-76-97,heorhiiieremenko@example.com
Сич,Венедикт,Петрович,Чоловіча,1974-01-22,Державний службовець,хутір Золотоноша,"вулиця Слави, буд. 473 кв. 814, Ромни, 98765",+380 05 067-44-64,bohuslava45@example.com
Овсієнко,Теодор,Андрійович,Чоловіча,1975-07-25,Сценарист,хутір Красноперекопськ,"шосе Вапняне селище, буд. 720, Корець, 36236",+380 63 218 00 68,priskahabelko@example.net
Давимука,Володимир,Петрович,Чоловіча,2008-08-08,Географ,селище Овруч,"сквер Іспанський, буд. 686, Першотравенськ, 03553",836-54-34,opanas33@example.com
Ніколюк,Устим,Юрійович,Чоловіча,1976-05-22,Слідчий,місто Авдіївка,"провулок Михайлівська, буд. 51 кв. 96, Інкерман, 77221",425 77 82,oryna95@example.org
Закусило,Олександр,Андрійович,Чоловіча,1976-05-24,Реабілітолог,селище Ясинувата,"набережна Гагаріна, буд. 12, Батурин, 85818",+380 (59) 270-37-07,shtepaiarema@example.com
Даценко,Лукʼян,Олександрович,Чоловіча,1939-07-28,Гінеколог,селище Хуст,"узвіз Романа Кармена, буд. 1, Овруч, 28848",853-22-80,babkomilena@example.net
Єресько,Пармен,Володимирович,Чоловіча,1957-09-16,Психолог,хутір Жданівка,"парк Партизанська, буд. 4, Богуслав, 16553",600-03-92,avreliitovstukha@example.org
Карпенко,Сергій,Олександрович,Чоловіча,1955-10-04,Професор,селище Дружба ,"шосе Дунаєвського 1-й, буд. 25, Миронівка, 03621",+380 98 890-87-07,mykhailosvyrydenko@example.net
Голик,Феофан,Павлович,Чоловіча,1988-11-29,Хореограф,селище Шепетівка,"узвіз Літній, буд. 7, Південне , 58919",+380 (46) 121-13-85,qhavrylenko@example.com
Артимович,Павло,Сергійович,Чоловіча,1953-12-17,Програміст,село Зугрес,"шосе Пісочний, буд. 3 кв. 786, Кропивницький, 17588",036 460-38-04,roman56@example.com
Носаченко,Кирило,Юрійович,Чоловіча,2003-09-23,Дизайнер,місто Світловодськ,"сквер Самодіяльна, буд. 172 кв. 724, Ровеньки, 30234",+380 04 981 95 57,onysym80@example.org
Яремко,Єфрем,Олександрович,Чоловіча,1948-06-24,Євнух,хутір Славутич,"проспект Чорноморський, буд. 73, Волноваха, 12307",+380 60 695-57-52,eeibozhenko@example.net
Опанасенко,Вʼячеслав,Михайлович,Чоловіча,1957-01-06,Кінокритик,село Новогродівка,"провулок Солонцюватий 1-й, буд. 910 кв. 687, Дебальцеве, 07522",510-83-59,odarkapalii@example.org
Яремчук,Венедикт,Сергійович,Чоловіча,1970-07-09,Мистецтвознавець,село Збараж,"узвіз Східчастий, буд. 838 кв. 0, Миколаїв, 57051",+380 63 380-40-73,petroudovychenko@example.net
Худяк,Василь,Володимирович,Чоловіча,1946-12-25,Архітектор,селище Малин,"провулок Санітарна, буд. 0, П'ятихатки, 18783",+380 22 482 66 27,ivanilienko@example.org
Шаблій,Ілля,Андрійович,Чоловіча,1941-12-02,Кінокритик,хутір Сулимівка (Слов'янськ),"парк Нікітіна, буд. 93 кв. 7, Фастів, 45984",084 121 19 13,andreikovadym@example.org
Кармалюк,Степан,Анатолійович,Чоловіча,1940-04-09,Гицель,хутір Авдіївка,"узвіз Гвардійська, буд. 559, Монастириська, 50157",130-18-36,pavlohavriushenko@example.net
Конопля,Руслан,Анатолійович,Чоловіча,1942-10-31,Агроном,селище Голубівка,"парк Ковиловий, буд. 8 кв. 11, Армянськ, 09119",007 332-19-84,alevtynprotsenko@example.org
Козаченко,Зорян,Петрович,Чоловіча,1976-04-30,Художник,місто Калинівка ,"парк Молодіжна, буд. 5 кв. 07, Мостиська, 22387",+380 61 216-41-37,qbakumenko@example.net
Гавриш,Леопольд,Анатолійович,Чоловіча,1970-05-11,Провізор,село Молодогвардійськ,"парк Лобачевського, буд. 44, Яремче, 99591",+380 23 407 00 32,nadiia90@example.com
Гук,Мирослав,Андрійович,Чоловіча,1948-12-17,Ріелтор,місто Жидачів,"проспект Калинова, буд. 2, Болехів, 89289",031 471 55 69,prokhir88@example.net
Жук,Гаврило,Анатолійович,Чоловіча,1971-10-19,Підприємець,село Помічна,"набережна Радісний, буд. 083, Остер , 18715",129-54-41,zakhar48@example.net
Семенченко,Гаврило,Іванович,Чоловіча,1943-02-09,Кушнір,місто Дубно,"шосе Головна, буд. 0 кв. 7, Чернівці, 28345",+380 23 670-18-62,hlibandriishyn@example.net
Парасюк,Адам,Олександрович,Чоловіча,1998-02-21,Археолог,місто Погребище,"парк Поштова, буд. 585, Рені, 60077",+380 97 393-02-96,allaviter@example.net
Артюшенко,Володимир,Олександрович,Чоловіча,1975-01-17,Соціолог,селище Корсунь-Шевченківський,"площа Санаторний, буд. 33 кв. 636, Путивль, 67558",+380 97 001 04 31,amaliia61@example.com
Кармалюк,Венедикт,Михайлович,Чоловіча,2003-03-12,Режисер,село Кобеляки,"узвіз Шишкіна 3-й, буд. 2 кв. 119, Сорокине, 92693",+380 72 219-23-34,vasylbashtan@example.org
Дашкевич,Олег,Михайлович,Чоловіча,2005-11-05,Адвокат,селище Олевськ,"узвіз Шептицікого, буд. 6, Вашківці, 99810",087 443 38 06,vasyliakymenko@example.org
Савенко,Тимофій,Михайлович,Чоловіча,1971-12-02,Реабілітолог,село Молодогвардійськ,"парк Остапа Вишні, буд. 4 кв. 80, Українськ, 69560",459-64-55,arudyk@example.com
Ванченко,Феофан,Іванович,Чоловіча,1966-01-10,Стиліст,село Кадіївка,"шосе Новосельского, буд. 471, Харків, 46257",+380 50 073-97-44,heorhii58@example.org
Оберемко,Тарас,Михайлович,Чоловіча,1979-05-27,Хореограф,село Горохів,"проспект Стамбульський, буд. 987 кв. 95, Ладижин, 28369",012 99 39,olifirenkomarusia@example.net
Гунько,Валерій,Андрійович,Чоловіча,1990-03-18,Ювелір,хутір Копичинці,"проспект Черкаська, буд. 0, Пирятин, 91674",+380 (18) 049-47-27,alla30@example.net
Москаль,Демид,Андрійович,Чоловіча,1963-05-05,Педагог,місто Родинське,"площа 411-ї батареї, буд. 350 кв. 87, Феодосія, 51340",+380 01 863 56 20,ubabarychenko@example.com
Василашко,Омелян,Володимирович,Чоловіча,1960-09-14,Психолог,селище Прилуки,"сквер Листяна, буд. 0, Малин, 82437",+380 93 418-57-40,svitlanaverkhovynets@example.org
Супруненко,Феофан,Юрійович,Чоловіча,1974-09-09,Мистецтвознавець,хутір П'ятихатки,"сквер Лінія 26-та, буд. 11 кв. 94, Алмазна, 97122",590-28-87,frantsvdovenko@example.net
Хмара,Феофан,Андрійович,Чоловіча,2003-11-10,Промисловець,село Яремче,"вулиця Балтський 1-й, буд. 8 кв. 7, Гірник , 59202",316-44-01,zhuklarysa@example.com
Колесниченко,Адам,Павлович,Чоловіча,1961-04-08,Археолог,місто Острог,"узвіз Партизанська, буд. 1 кв. 99, Ужгород, 43621",+380 15 338 80 08,solomon75@example.com
Дергач,Андрій,Анатолійович,Чоловіча,1974-07-28,Фермер,хутір Ічня,"проспект Олександрівський, буд. 2 кв. 501, Васильків, 50936",+380 88 363-95-07,karpenkomyron@example.org
Титаренко,Августин,Юрійович,Чоловіча,1960-11-12,Математик,місто Інкерман,"парк Металістів, буд. 847 кв. 3, Гайсин, 58252",091 838 88 75,zakharchenkoolena@example.org
Баклан,Костянтин,Іванович,Чоловіча,1978-01-18,Кінокритик,село Харків,"вулиця Курортний 6-й, буд. 6 кв. 8, Новгород-Сіверський, 85054",+380 14 693-18-95,tteslia@example.org
Рябченко,Зиновій,Анатолійович,Чоловіча,1978-07-11,Круп'є,хутір Червоносів,"площа Курортний 6-й, буд. 465 кв. 2, Южноукраїнськ, 49214",+380 82 767 28 15,boleslav55@example.com
Швачко,Андрій,Анатолійович,Чоловіча,1954-11-27,Електромонтажник,селище Славутич,"площа Лінія 52-га, буд. 2 кв. 655, Сіверськ, 77349",095 046 33 03,klavdiiaparasiuk@example.com
Фартушняк,Стефан,Петрович,Чоловіча,1969-09-06,Стоматолог,село Корсунь-Шевченківський,"узвіз Карантинна, буд. 3 кв. 1, Саки , 96611",+380 (54) 817-14-77,vsalii@example.org
Ґереґа,Симон,Сергійович,Чоловіча,1974-09-14,Фольклорист,село Белз,"шосе Троїцького Миколи, буд. 1 кв. 123, Тростянець, 38446",007 201-64-56,iaremchukhryhorii@example.net
Дубас,Семен,Юрійович,Чоловіча,1996-10-09,Фармацевт,селище Броди,"шосе Дачний 2-й, буд. 264, Барвінкове, 36902",+380 16 438-14-85,teodorkyrylenko@example.org
Конопля,Тарас,Іванович,Чоловіча,1948-02-03,Підприємець,місто Сніжне,"парк Леонова, буд. 5 кв. 1, Ірміно, 32386",+380 (87) 081-16-89,stepanizhak@example.com
Франко,Павло,Петрович,Чоловіча,2001-07-08,Паралегал,селище Верхівцеве,"провулок Іванівська, буд. 1, Гадяч, 70905",+380 (29) 205-16-13,zubkoteodor@example.net
Зінчук,Дан,Анатолійович,Чоловіча,1999-03-07,Філолог,селище Ніжин,"площа Вільгельма Габсбурга, буд. 64, Нова Одеса, 49229",090 570-86-94,zaikaiaroslav@example.net
Левченко,Сергій,Олександрович,Чоловіча,1984-05-01,Промисловець,селище Рогатин,"узвіз Саксаганського, буд. 9 кв. 8, Корець, 30056",+380 09 210 57 65,kyrylozinchenko@example.net
Швайка,Олекса,Анатолійович,Чоловіча,1980-05-30,Кіноактор,село Новоград-Волинський,"узвіз Чорноморський, буд. 212, Бучач, 29005",+380 62 072-20-11,vitalii51@example.org
Габелко,Антон,Іванович,Чоловіча,1966-04-23,М'ясник,хутір Снятин,"узвіз Південна дорога, буд. 2 кв. 53, Березівка, 96045",+380 56 852-34-41,masokhaiarema@example.net
Єфименко,Федір,Анатолійович,Чоловіча,1940-01-25,Композитор,хутір Сватове,"шосе Якутська, буд. 723, Тернопіль, 42474",+380 (13) 791-84-86,svelychko@example.org
Василенко,Семен,Володимирович,Чоловіча,1985-08-07,Архітектор,хутір Сіверськ,"сквер Матеріальний 1-й, буд. 979 кв. 51, Вараш, 06887",056 557 45 09,qkybkalo@example.net
Тесленко,Василь,Юрійович,Чоловіча,1970-10-13,Історик,хутір Приморськ (Україна),"сквер Просьолочна, буд. 62, Калуш, 82356",513-05-98,lytvyniustym@example.org
Бакуменко,Венедикт,Олександрович,Чоловіча,1972-10-15,Письменник,село Лебедин,"узвіз Заводська, буд. 304, Ківерці, 26573",101 01 23,fmasliak@example.net
Матяш,Артем,Іванович,Чоловіча,1983-12-19,Антрополог,місто Вилкове,"сквер Мічманський 2-й, буд. 549, Алмазна, 26244",081-91-62,sheremetavasylyna@example.org
Вахній,Олег,Анатолійович,Чоловіча,1990-07-05,Педагог,село Новодружеськ,"шосе Вознесенський, буд. 85, Чернівці, 56236",+380 13 930 89 22,ivlokh@example.net
Балабан,Веніямин,Павлович,Чоловіча,1997-12-05,Промисловець,місто Сімферополь,"шосе Кавказька, буд. 2 кв. 8, Дружба , 82086",+380 31 467-84-27,solomonkhrystych@example.com
